date,WILLLRGCAP,WILLSMLCAP,BAMLCC4A0710YTRIV,VIXCLS
1992-06-30,7414.6,7516.25,100.0,13.35
1992-07-01,7414.6,7516.25,100.17,13.34
1992-07-02,7414.6,7516.25,101.08,13.88
1992-07-03,7414.6,7516.25,101.08,13.88
1992-07-06,7414.6,7516.25,101.32,14.87
1992-07-07,7414.6,7516.25,101.53,15.83
1992-07-08,7414.6,7516.25,101.46,15.53
1992-07-09,7414.6,7516.25,101.37,14.6
1992-07-10,7414.6,7516.25,101.43,13.7
1992-07-13,7414.6,7516.25,101.27,14.01
1992-07-14,7414.6,7516.25,101.2,13.5
1992-07-15,7414.6,7516.25,101.58,12.52
1992-07-16,7414.6,7516.25,101.8,12.27
1992-07-17,7414.6,7516.25,101.71,12.6
1992-07-20,7414.6,7516.25,101.74,12.66
1992-07-21,7414.6,7516.25,101.84,12.6
1992-07-22,7414.6,7516.25,102.05,13.57
1992-07-23,7414.6,7516.25,102.68,13.33
1992-07-24,7414.6,7516.25,102.68,13.37
1992-07-27,7414.6,7516.25,103.01,13.9
1992-07-28,7414.6,7516.25,103.37,13.05
1992-07-29,7414.6,7516.25,103.75,13.44
1992-07-30,7414.6,7516.25,102.93,13.5
1992-07-31,7720.28,7778.4,103.03,13.17
1992-08-03,7720.28,7778.4,102.95,13.83
1992-08-04,7720.28,7778.4,103.3,13.58
1992-08-05,7720.28,7778.4,103.54,13.82
1992-08-06,7720.28,7778.4,103.42,14.23
1992-08-07,7720.28,7778.4,103.84,13.94
1992-08-10,7720.28,7778.4,104.18,14.51
1992-08-11,7720.28,7778.4,104.18,15.09
1992-08-12,7720.28,7778.4,104.23,14.88
1992-08-13,7720.28,7778.4,104.18,15.34
1992-08-14,7720.28,7778.4,104.17,14.66
1992-08-17,7720.28,7778.4,104.11,14.61
1992-08-18,7720.28,7778.4,104.49,13.84
1992-08-19,7720.28,7778.4,104.55,14.35
1992-08-20,7720.28,7778.4,104.64,14.48
1992-08-21,7720.28,7778.4,104.32,15.01
1992-08-24,7720.28,7778.4,103.74,16.19
1992-08-25,7720.28,7778.4,103.47,15.62
1992-08-26,7720.28,7778.4,103.6,14.5
1992-08-27,7720.28,7778.4,103.94,13.66
1992-08-28,7720.28,7778.4,104.01,13.14
1992-08-31,7564.21,7548.16,104.11,13.58
1992-09-01,7564.21,7548.16,104.34,13.4
1992-09-02,7564.21,7548.16,104.68,12.73
1992-09-03,7564.21,7548.16,104.6,12.88
1992-09-04,7564.21,7548.16,105.33,12.98
1992-09-07,7564.21,7548.16,105.33,12.98
1992-09-08,7564.21,7548.16,105.86,13.65
1992-09-09,7564.21,7548.16,105.9,13.36
1992-09-10,7564.21,7548.16,105.88,12.92
1992-09-11,7564.21,7548.16,105.76,12.47
1992-09-14,7564.21,7548.16,105.92,13.0
1992-09-15,7564.21,7548.16,105.6,13.63
1992-09-16,7564.21,7548.16,105.72,14.72
1992-09-17,7564.21,7548.16,105.57,14.31
1992-09-18,7564.21,7548.16,105.54,13.74
1992-09-21,7564.21,7548.16,105.57,13.45
1992-09-22,7564.21,7548.16,105.33,13.88
1992-09-23,7564.21,7548.16,104.95,13.83
1992-09-24,7564.21,7548.16,105.23,13.44
1992-09-25,7564.21,7548.16,105.65,14.8
1992-09-28,7564.21,7548.16,105.92,15.19
1992-09-29,7564.21,7548.16,106.01,14.97
1992-09-30,7648.61,7710.56,105.8,14.28
1992-10-01,7648.61,7710.56,106.29,16.31
1992-10-02,7648.61,7710.56,106.25,17.79
1992-10-05,7648.61,7710.56,106.46,20.01
1992-10-06,7648.61,7710.56,106.02,19.95
1992-10-07,7648.61,7710.56,105.35,21.02
1992-10-08,7648.61,7710.56,105.36,19.26
1992-10-09,7648.61,7710.56,104.88,20.51
1992-10-12,7648.61,7710.56,105.03,19.49
1992-10-13,7648.61,7710.56,105.0,17.9
1992-10-14,7648.61,7710.56,105.07,18.42
1992-10-15,7648.61,7710.56,105.03,17.11
1992-10-16,7648.61,7710.56,104.66,17.01
1992-10-19,7648.61,7710.56,104.3,17.31
1992-10-20,7648.61,7710.56,103.18,16.87
1992-10-21,7648.61,7710.56,103.58,16.62
1992-10-22,7648.61,7710.56,103.93,15.84
1992-10-23,7648.61,7710.56,103.6,16.46
1992-10-26,7648.61,7710.56,103.48,16.32
1992-10-27,7648.61,7710.56,103.85,16.24
1992-10-28,7648.61,7710.56,104.11,15.95
1992-10-29,7648.61,7710.56,104.22,15.47
1992-10-30,7713.21,7955.87,103.69,16.15
1992-11-02,7713.21,7955.87,103.24,16.67
1992-11-03,7713.21,7955.87,103.24,17.33
1992-11-04,7713.21,7955.87,103.23,16.28
1992-11-05,7713.21,7955.87,103.32,15.38
1992-11-06,7713.21,7955.87,103.02,14.69
1992-11-09,7713.21,7955.87,102.77,14.23
1992-11-10,7713.21,7955.87,103.14,14.37
1992-11-11,7713.21,7955.87,103.44,13.99
1992-11-12,7713.21,7955.87,103.78,14.37
1992-11-13,7713.21,7955.87,103.69,14.61
1992-11-16,7713.21,7955.87,103.42,14.86
1992-11-17,7713.21,7955.87,103.46,15.01
1992-11-18,7713.21,7955.87,103.8,14.55
1992-11-19,7713.21,7955.87,103.91,14.33
1992-11-20,7713.21,7955.87,103.76,13.67
1992-11-23,7713.21,7955.87,103.64,13.4
1992-11-24,7713.21,7955.87,103.89,12.66
1992-11-25,7713.21,7955.87,103.82,12.5
1992-11-26,7713.21,7955.87,103.82,12.5
1992-11-27,7713.21,7955.87,103.5,12.58
1992-11-30,7986.11,8548.52,103.37,13.01
1992-12-01,7986.11,8548.52,103.32,12.8
1992-12-02,7986.11,8548.52,103.3,12.56
1992-12-03,7986.11,8548.52,103.4,12.03
1992-12-04,7986.11,8548.52,103.71,11.81
1992-12-07,7986.11,8548.52,104.15,12.0
1992-12-08,7986.11,8548.52,104.41,11.73
1992-12-09,7986.11,8548.52,104.53,12.58
1992-12-10,7986.11,8548.52,104.38,12.75
1992-12-11,7986.11,8548.52,104.23,12.34
1992-12-14,7986.11,8548.52,104.18,12.66
1992-12-15,7986.11,8548.52,104.22,12.41
1992-12-16,7986.11,8548.52,104.5,12.58
1992-12-17,7986.11,8548.52,104.54,12.14
1992-12-18,7986.11,8548.52,104.63,11.66
1992-12-21,7986.11,8548.52,104.9,11.65
1992-12-22,7986.11,8548.52,105.27,11.75
1992-12-23,7986.11,8548.52,105.19,11.51
1992-12-24,7986.11,8548.52,105.16,11.57
1992-12-25,7986.11,8548.52,105.16,11.57
1992-12-28,7986.11,8548.52,105.07,12.22
1992-12-29,7986.11,8548.52,105.27,12.29
1992-12-30,7986.11,8548.52,105.34,12.6
1992-12-31,8106.49,8846.03,105.32,12.57
1993-01-01,8106.49,8846.03,105.32,12.57
1993-01-04,8106.49,8846.03,105.87,13.36
1993-01-05,8106.49,8846.03,105.95,13.35
1993-01-06,8106.49,8846.03,105.83,13.37
1993-01-07,8106.49,8846.03,105.35,14.72
1993-01-08,8106.49,8846.03,105.3,13.77
1993-01-11,8106.49,8846.03,105.58,12.86
1993-01-12,8106.49,8846.03,105.65,12.78
1993-01-13,8106.49,8846.03,105.48,12.42
1993-01-14,8106.49,8846.03,105.9,11.99
1993-01-15,8106.49,8846.03,106.27,11.57
1993-01-18,8106.49,8846.03,106.32,11.49
1993-01-19,8106.49,8846.03,106.46,12.06
1993-01-20,8106.49,8846.03,106.43,12.15
1993-01-21,8106.49,8846.03,106.35,11.69
1993-01-22,8106.49,8846.03,106.67,11.3
1993-01-25,8106.49,8846.03,107.07,11.38
1993-01-26,8106.49,8846.03,107.27,11.45
1993-01-27,8106.49,8846.03,107.26,12.01
1993-01-28,8106.49,8846.03,107.46,12.04
1993-01-29,8165.29,9124.45,107.92,12.42
1993-02-01,8165.29,9124.45,107.98,12.33
1993-02-02,8165.29,9124.45,107.76,12.25
1993-02-03,8165.29,9124.45,107.68,12.12
1993-02-04,8165.29,9124.45,108.01,12.29
1993-02-05,8165.29,9124.45,108.43,12.9
1993-02-08,8165.29,9124.45,108.38,13.22
1993-02-09,8165.29,9124.45,108.24,13.48
1993-02-10,8165.29,9124.45,107.94,13.43
1993-02-11,8165.29,9124.45,108.22,12.69
1993-02-12,8165.29,9124.45,108.44,12.38
1993-02-15,8165.29,9124.45,108.44,12.38
1993-02-16,8165.29,9124.45,108.56,15.76
1993-02-17,8165.29,9124.45,108.8,15.9
1993-02-18,8165.29,9124.45,109.38,15.56
1993-02-19,8165.29,9124.45,109.61,15.02
1993-02-22,8165.29,9124.45,109.87,14.7
1993-02-23,8165.29,9124.45,111.03,15.04
1993-02-24,8165.29,9124.45,110.6,14.72
1993-02-25,8165.29,9124.45,110.53,13.76
1993-02-26,8237.43,8939.96,110.61,13.16
1993-03-01,8237.43,8939.96,111.21,13.6
1993-03-02,8237.43,8939.96,111.16,12.49
1993-03-03,8237.43,8939.96,111.74,13.13
1993-03-04,8237.43,8939.96,112.1,13.44
1993-03-05,8237.43,8939.96,111.54,14.08
1993-03-08,8237.43,8939.96,111.9,16.22
1993-03-09,8237.43,8939.96,111.79,14.17
1993-03-10,8237.43,8939.96,111.77,13.91
1993-03-11,8237.43,8939.96,111.48,14.26
1993-03-12,8237.43,8939.96,110.57,15.66
1993-03-15,8237.43,8939.96,110.32,14.74
1993-03-16,8237.43,8939.96,110.97,14.51
1993-03-17,8237.43,8939.96,111.18,14.53
1993-03-18,8237.43,8939.96,111.69,14.17
1993-03-19,8237.43,8939.96,111.67,13.23
1993-03-22,8237.43,8939.96,111.65,13.66
1993-03-23,8237.43,8939.96,112.01,13.02
1993-03-24,8237.43,8939.96,111.89,12.44
1993-03-25,8237.43,8939.96,111.76,12.08
1993-03-26,8237.43,8939.96,111.22,12.21
1993-03-29,8237.43,8939.96,111.2,12.63
1993-03-30,8237.43,8939.96,111.58,12.23
1993-03-31,8430.33,9264.74,111.6,12.53
1993-04-01,8430.33,9264.74,111.61,13.02
1993-04-02,8430.33,9264.74,111.14,14.5
1993-04-05,8430.33,9264.74,111.16,14.12
1993-04-06,8430.33,9264.74,111.36,14.24
1993-04-07,8430.33,9264.74,111.58,13.64
1993-04-08,8430.33,9264.74,112.18,12.83
1993-04-09,8430.33,9264.74,112.18,12.83
1993-04-12,8430.33,9264.74,112.68,11.93
1993-04-13,8430.33,9264.74,112.46,11.7
1993-04-14,8430.33,9264.74,112.77,11.76
1993-04-15,8430.33,9264.74,112.88,10.96
